# Seismic Stations - names
# Code, Name
ON047, Oxford Node 047, Isle's bay beach,  below tsunami sign. Flag marked
ON048, Oxford Node 048, Crossroad,  west of road
ON049, Oxford Node 049, Opposite the circular building in vegetation
ON052, Oxford Node 052, east of road
ON053, Oxford Node 053, After cross road,  east of road
ON054, Oxford Node 054, Near the dock,  south of gravel
ON055, Oxford Node 055, behind gravel. (10m walk East of Gravel)
ON056, Oxford Node 056, Right after (east) of the fence
ON057, Oxford Node 057, Next to the road,  at the houses
ON058, Oxford Node 058, Waterworks estate, just past old sugar mill,  flag marked,  along road going uphill RHS,  by palm tree
ON059, Oxford Node 059, Waterworks estate,  infront of solar panels of GPS station. flag marked
ON060, Oxford Node 060, St Georges Hill - on LHS going uphill
ON061, Oxford Node 061, Before weather station on St Georges Hill
ON062, Oxford Node 062, A few metres away from MBGH
ON063, Oxford Node 063, Located ~100m before windmills (weather station)
ON064, Oxford Node 064, Located at weather station site
ON065, Oxford Node 065, Headed back down from weather station to right,  100m inside
ON066, Oxford Node 066, past geothermal exploration sign,  track to the right going in for ~2min located to right of mango tree
ON067, Oxford Node 067, along road,  flag marked
ON069, Oxford Node 069, Zone V-Whites. Along path to GPS stations,  LHS up hill,  15m from station. flag marked
ON077, Oxford Node 077, Node along trail. Flag marked
ON078, Oxford Node 078, Node at peak. Flag marked
ON080, Oxford Node 080, opposite well in ditch
ON082, Oxford Node 082, between containers by well
ON083, Oxford Node 083, by well gates,  next to skip
ON084, Oxford Node 084, LHS road facing well,  opposite coconut palm,  by bank
ON085, Oxford Node 085, At base of house to left when facing it. North sid of road
ON086, Oxford Node 086, By well,  at concrete base closest to pond.
ON121, Oxford Node 121, St Augustine school,  by cricket nets
ON122, Oxford Node 122, LookOut primary school,  at end of drive behind auditorium. next to generator
